Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71930131,1,"Monday, January 28, 2013 09:48:10 UTC",38.7877,-122.7620,1.4,1.60,22,"Northern California"
nc,71930136,2,"Monday, January 28, 2013 09:47:36 UTC",37.6220,-119.0193,1.4,3.70, 8,"Long Valley area, California"
nc,71930126,2,"Monday, January 28, 2013 09:38:07 UTC",37.6437,-119.0565,1.1,0.30, 4,"Central California"
ak,10646070,1,"Monday, January 28, 2013 09:06:05 UTC",61.2913,-152.2533,1.3,9.00,10,"Southern Alaska"
ak,10646064,1,"Monday, January 28, 2013 08:30:58 UTC",61.0681,-146.6138,1.9,11.40,12,"Southern Alaska"
ak,10646057,1,"Monday, January 28, 2013 08:18:39 UTC",64.4993,-147.2835,1.3,1.20,12,"Central Alaska"
ci,15278489,2,"Monday, January 28, 2013 08:17:55 UTC",33.9893,-116.8530,1.2,14.00,48,"Southern California"
pr,13028002,0,"Monday, January 28, 2013 08:07:31 UTC",18.2830,-65.0398,1.5,36.00, 3,"Virgin Islands region"
ci,15278481,2,"Monday, January 28, 2013 07:37:43 UTC",33.1670,-116.1122,2.2,9.40,137,"Southern California"
ci,15278473,2,"Monday, January 28, 2013 06:16:54 UTC",36.0338,-117.7780,1.7,1.10,26,"Central California"
nc,71930076,1,"Monday, January 28, 2013 06:03:25 UTC",38.7870,-122.7285,1.8,1.80,27,"Northern California"
ak,10646043,2,"Monday, January 28, 2013 05:45:09 UTC",60.0814,-141.1614,1.8,13.40, 5,"Southern Alaska"
ci,15278465,2,"Monday, January 28, 2013 05:37:07 UTC",36.4210,-117.8378,1.9,14.20,12,"Central California"
ak,10646034,1,"Monday, January 28, 2013 05:25:25 UTC",62.9513,-150.9639,1.9,99.80,19,"Central Alaska"
nc,71930056,2,"Monday, January 28, 2013 04:39:56 UTC",38.2640,-122.1835,1.2,6.50,21,"Northern California"
pr,13028001,0,"Monday, January 28, 2013 04:39:26 UTC",18.7945,-64.3310,2.4,44.00, 5,"Virgin Islands region"
us,c000ewkv,4,"Monday, January 28, 2013 04:02:57 UTC",-4.9067,129.4415,4.8,231.40,27,"Banda Sea"
hv,60459846,1,"Monday, January 28, 2013 03:44:46 UTC",19.1222,-155.4728,2.0,31.30,23,"Island of Hawaii, Hawaii"
ak,10646019,1,"Monday, January 28, 2013 03:27:22 UTC",61.0271,-146.5862,1.9,16.80,16,"Southern Alaska"
nc,71930016,2,"Monday, January 28, 2013 03:24:18 UTC",37.5085,-119.0438,1.2,2.50, 9,"Central California"
ci,15278449,2,"Monday, January 28, 2013 03:23:54 UTC",33.8497,-117.7873,2.4,8.20,119,"Greater Los Angeles area, California"
nc,71929981,2,"Monday, January 28, 2013 02:53:00 UTC",37.5342,-119.0158,1.1,8.60, 9,"Central California"
nc,71929941,3,"Monday, January 28, 2013 02:26:43 UTC",38.8267,-122.8498,2.6,1.50,71,"Northern California"
ak,10646006,1,"Monday, January 28, 2013 02:20:07 UTC",58.2302,-154.7864,2.1,21.00, 9,"Alaska Peninsula"
ak,10646004,1,"Monday, January 28, 2013 02:17:54 UTC",58.2179,-155.0949,1.3,1.30, 6,"Alaska Peninsula"
nn,00401185,9,"Monday, January 28, 2013 02:15:59 UTC",37.0840,-117.9822,1.5,0.00, 6,"Central California"
pr,13028000,0,"Monday, January 28, 2013 02:06:37 UTC",18.2513,-66.9815,2.1,24.00, 5,"Puerto Rico"
ak,10645999,1,"Monday, January 28, 2013 00:58:15 UTC",64.7494,-148.0666,1.5,19.90, 8,"Central Alaska"
nm,012813a,A,"Monday, January 28, 2013 00:35:12 UTC",36.5311,-89.6147,1.3,9.50,15,"southeastern Missouri"
nc,71929911,2,"Monday, January 28, 2013 00:29:43 UTC",36.3513,-120.9340,1.1,5.30,11,"Central California"
ci,15278425,2,"Monday, January 28, 2013 00:03:50 UTC",35.0327,-117.6745,1.6,0.00,12,"Southern California"
ci,15278417,2,"Sunday, January 27, 2013 23:49:53 UTC",34.2395,-117.5065,1.9,6.90,79,"Southern California"
ak,10645989,2,"Sunday, January 27, 2013 23:49:46 UTC",62.1566,-148.6938,1.3,4.50,17,"Central Alaska"
nc,71929896,2,"Sunday, January 27, 2013 23:48:25 UTC",37.6472,-122.0590,1.5,3.00,34,"San Francisco Bay area, California"
ak,10648245,2,"Sunday, January 27, 2013 23:37:30 UTC",54.8933,-160.3735,2.0,36.30, 9,"Alaska Peninsula"
nc,71929866,2,"Sunday, January 27, 2013 22:35:21 UTC",36.3520,-120.9335,1.6,6.20,39,"Central California"
ak,10645855,2,"Sunday, January 27, 2013 22:25:47 UTC",51.4964,-179.0071,2.3,29.80,14,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71929851,2,"Sunday, January 27, 2013 22:10:22 UTC",37.5362,-118.8223,1.2,7.10,26,"Central California"
uw,60497797,2,"Sunday, January 27, 2013 22:08:16 UTC",49.4198,-120.5047,2.2,0.00, 9,"British Columbia, Canada"
mb,13891361,2,"Sunday, January 27, 2013 22:08:04 UTC",45.6155,-111.7516,1.2,6.90,11,"western Montana"
ak,10645847,2,"Sunday, January 27, 2013 22:03:44 UTC",60.9782,-151.2125,1.8,71.10,28,"Kenai Peninsula, Alaska"
us,c000ewtb,9,"Sunday, January 27, 2013 21:45:49 UTC",13.2865,144.7219,4.5,47.70,20,"Guam region"
ak,10645837,3,"Sunday, January 27, 2013 21:39:50 UTC",60.5968,-152.3240,2.0,95.00,30,"Southern Alaska"
ci,15278401,2,"Sunday, January 27, 2013 21:30:04 UTC",34.3458,-118.4897,1.9,4.30,52,"Greater Los Angeles area, California"
nc,71929841,0,"Sunday, January 27, 2013 21:23:57 UTC",38.8342,-122.8125,1.1,2.50,21,"Northern California"
ci,15278393,2,"Sunday, January 27, 2013 21:03:36 UTC",33.1755,-115.6748,1.2,5.70,19,"Southern California"
nc,71929831,0,"Sunday, January 27, 2013 21:03:08 UTC",38.7435,-122.7332,1.0,0.40, 7,"Northern California"
us,c000ewhq,9,"Sunday, January 27, 2013 20:57:35 UTC",27.2142,128.3620,5.2,57.90,88,"Ryukyu Islands, Japan"
ak,10645815,2,"Sunday, January 27, 2013 20:44:30 UTC",61.7686,-149.7409,1.6,34.10,23,"Southern Alaska"
ak,10648239,2,"Sunday, January 27, 2013 20:41:47 UTC",54.4645,-161.6055,2.1,14.30, 9,"Alaska Peninsula"
us,c000ewha,7,"Sunday, January 27, 2013 20:27:22 UTC",14.1805,-91.7112,4.5,67.00,44,"Guatemala"
nn,00401057,9,"Sunday, January 27, 2013 20:22:49 UTC",38.1563,-118.0017,2.2,7.40,14,"Nevada"
nn,00401055,9,"Sunday, January 27, 2013 20:08:39 UTC",38.1624,-117.9929,2.1,10.60,11,"Nevada"
nc,71929806,2,"Sunday, January 27, 2013 19:54:39 UTC",36.8275,-121.2790,1.0,7.90,25,"Central California"
